date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:19	308341/308341	---MCZ	200	added ('OK')	text/html	etag:W/%2299744c982d0bda1bcf515f3e3ac171a3%22	https://thomasclapasson.wixsite.com/my-site-7	C:/Users/i7%209GEN/Desktop/CVWeb/SiteHTT/Extract/thomasclapasson.wixsite.com/my-site-7.html	(from )
16:16:20	201/201	---M--	200	added ('OK')	text/plain	date:Tue,%2004%20Jan%202022%2021:16:17%20GMT	https://thomasclapasson.wixsite.com/robots.txt		(from )
16:16:20	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/i7%209GEN/Desktop/CVWeb/SiteHTT/Extract/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://thomasclapasson.wixsite.com/my-site-7)
16:16:20	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/i7%209GEN/Desktop/CVWeb/SiteHTT/Extract/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://thomasclapasson.wixsite.com/my-site-7)
16:16:21	65503/65503	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2021%20Oct%202021%2005:01:42%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/i7%209GEN/Desktop/CVWeb/SiteHTT/Extract/polyfill.io/v3/polyfill.mind82c.js	(from https://thomasclapasson.wixsite.com/my-site-7)
16:16:21	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jan%202022%2021:16:19%20GMT	https://thomasclapasson.wixsite.com/47b73115.min.css	C:/Users/i7%209GEN/Desktop/CVWeb/SiteHTT/Extract/thomasclapasson.wixsite.com/47b73115.min.css	(from https://thomasclapasson.wixsite.com/my-site-7)
16:16:21	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jan%202022%2021:16:19%20GMT	https://thomasclapasson.wixsite.com/1a3ca2ee.min.css	C:/Users/i7%209GEN/Desktop/CVWeb/SiteHTT/Extract/thomasclapasson.wixsite.com/1a3ca2ee.min.css	(from https://thomasclapasson.wixsite.com/my-site-7)
16:16:21	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jan%202022%2021:16:19%20GMT	https://thomasclapasson.wixsite.com/16e44c05.min.css	C:/Users/i7%209GEN/Desktop/CVWeb/SiteHTT/Extract/thomasclapasson.wixsite.com/16e44c05.min.css	(from https://thomasclapasson.wixsite.com/my-site-7)
16:16:21	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jan%202022%2021:16:19%20GMT	https://thomasclapasson.wixsite.com/6ac53ab7.min.css	C:/Users/i7%209GEN/Desktop/CVWeb/SiteHTT/Extract/thomasclapasson.wixsite.com/6ac53ab7.min.css	(from https://thomasclapasson.wixsite.com/my-site-7)
16:16:22	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jan%202022%2021:16:20%20GMT	https://thomasclapasson.wixsite.com/02595569.min.css	C:/Users/i7%209GEN/Desktop/CVWeb/SiteHTT/Extract/thomasclapasson.wixsite.com/02595569.min.css	(from https://thomasclapasson.wixsite.com/my-site-7)
